matricula_aluno,nome_aluno,codigo_instituicao,nome_instituicao,sexo_aluno,id_curso,nome_curso,turno_curso,turma_aluno,periodo_inicial_aluno,codigo_departamento,nome_departamento
20251ECON0281,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20191ENPRO0264,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2019/1,,
20232ECON0201,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,,2023/2,,
20171ENPRO0643,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2017/1,,
20251ECON0389,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20181ENPRO0033,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2018/1,,
20251FISIC0205,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2025/1,,
20241ENPRO0540,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2024/1,,
20251ECON0532,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20211FISIC0095,,,Campus Cariacica,F,,Licenciatura em Física,Integral,,2021/1,,
20171ENPRO0405,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2017/1,,
20201ENPRO0060,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2020/1,,
20221FISIC0173,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2022/1,,
20241ECON0305,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,,2024/1,,
20251ECON0494,,,Campus Cariacica,F,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20251ECON0273,,,Campus Cariacica,F,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20251ENPRO0091,,,Campus Cariacica,F,,Engenharia de Produção,Integral,20251.ENPRO.1,2025/1,,
20241ENPRO0221,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2024/1,,
20251FISIC0191,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2025/1,,
20201ENPRO0435,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2020/1,,
20231ENPRO0496,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2023/1,,
20102ENPRO0216,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2010/2,,
20201FISIC0033,,,Campus Cariacica,F,,Licenciatura em Física,Integral,,2020/1,,
20251ENPRO0504,,,Campus Cariacica,F,,Engenharia de Produção,Integral,20251.ENPRO.1,2025/1,,
20231ENPRO0291,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2023/1,,
20221BAFIS0001,,,Campus Cariacica,M,,Bacharelado em Física,Integral,,2022/1,,
20231BAFIS0015,,,Campus Cariacica,F,,Bacharelado em Física,Integral,,2023/1,,
20241ENPRO0140,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2024/1,,
20191ENPRO0434,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2019/1,,
20251ENPRO0490,,,Campus Cariacica,M,,Engenharia de Produção,Integral,20251.ENPRO.1,2025/1,,
20221ENPRO0081,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2022/1,,
20201ENPRO0087,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2020/1,,
20231ENPRO0500,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2023/1,,
20251FISIC0035,,,Campus Cariacica,M,,Licenciatura em Física,Integral,20251.FISIC.1,2025/1,,
20241ECON0313,,,Campus Cariacica,F,,Bacharelado em Ciências Econômicas,Noturno,,2024/1,,
20241FISIC0160,,,Campus Cariacica,F,,Licenciatura em Física,Integral,,2024/1,,
20191FISIC0364,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2019/1,,
20142ENPRO0061,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2014/2,,
20232ECON0210,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,,2023/2,,
20221ENPRO0103,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2022/1,,
20241ECON0321,,,Campus Cariacica,F,,Bacharelado em Ciências Econômicas,Noturno,,2024/1,,
20241ECON0330,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,,2024/1,,
20241ENPRO0205,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2024/1,,
20241ECON0348,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,,2024/1,,
20201ENPRO0002,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2020/1,,
20241ENPRO0523,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2024/1,,
20191ENPRO0094,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2019/1,,
20251FISIC0027,,,Campus Cariacica,F,,Licenciatura em Física,Integral,20251.FISIC.1,2025/1,,
20251ENPRO0164,,,Campus Cariacica,F,,Engenharia de Produção,Integral,20251.ENPRO.1,2025/1,,
20241ENPRO0272,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2024/1,,
20251ECON0206,,,Campus Cariacica,F,,Bacharelado em Ciências Econômicas,Noturno,20251.ECON.1N,2025/1,,
20211ENPRO0424,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2021/1,,
20232ECON0228,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,,2023/2,,
20241ENPRO0191,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2024/1,,
20231ENPRO0127,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2023/1,,
20221ENPRO0090,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2022/1,,
20231ENPRO0070,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2023/1,,
20181ENPRO0032,,,Campus Cariacica,F,,Engenharia de Produção,Integral,,2018/1,,
20232ECON0236,,,Campus Cariacica,M,,Bacharelado em Ciências Econômicas,Noturno,,2023/2,,
20231FISIC0391,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2023/1,,
20211FISIC0249,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2021/1,,
20231FISIC0111,,,Campus Cariacica,M,,Licenciatura em Física,Integral,,2023/1,,
20201ENPRO0052,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2020/1,,
20241ENPRO0337,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2024/1,,
20251ENPRO0121,,,Campus Cariacica,M,,Engenharia de Produção,Integral,20251.ENPRO.1,2025/1,,
20231ENPRO0356,,,Campus Cariacica,M,,Engenharia de Produção,Integral,,2023/1,,
